iter	Passed	Remaining
551	6651	5397
552	6660	5383
553	6671	5371
554	6684	5359
555	6695	5346
556	6705	5333
557	6726	5327
558	6736	5314
559	6747	5301
560	6757	5287
561	6767	5274
562	6778	5261
563	6788	5247
564	6798	5234
565	6811	5223
566	6822	5209
567	6834	5197
568	6844	5184
569	6855	5171
570	6867	5159
571	6877	5146
572	6887	5132
573	6899	5120
574	6909	5107
575	6920	5093
576	6931	5081
577	6943	5069
578	6958	5059
579	6970	5047
580	6979	5033
581	6991	5021
582	7001	5007
583	7011	4994
584	7022	4981
585	7033	4969
586	7043	4955
587	7054	4943
588	7065	4930
589	7076	4917
590	7087	4904
591	7097	4891
592	7107	4878
593	7117	4865
594	7128	4852
595	7139	4839
596	7149	4826
597	7161	4814
598	7172	4801
599	7184	4789
600	7194	4776
601	7204	4763
602	7216	4751
603	7227	4738
604	7237	4725
605	7249	4713
606	7261	4701
607	7271	4688
608	7282	4675
609	7293	4663
610	7304	4650
611	7314	4637
612	7326	4625
613	7336	4612
614	7346	4599
615	7357	4586
616	7368	4574
617	7378	4560
618	7388	4547
619	7399	4534
620	7409	4521
621	7420	4509
622	7431	4497
623	7441	4484
624	7452	4471
625	7468	4461
626	7480	4449
627	7492	4438
628	7506	4427
629	7521	4417
630	7534	4405
631	7544	4393
632	7556	4380
633	7568	4369
634	7579	4356
635	7590	4344
636	7604	4333
637	7616	4321
638	7629	4310
639	7640	4297
640	7650	4284
641	7663	4273
642	7675	4261
643	7685	4248
644	7695	4235
645	7706	4223
646	7717	4210
647	7727	4197
648	7738	4185
649	7749	4172
650	7758	4159
651	7770	4147
652	7780	4134
653	7790	4121
654	7801	4109
655	7811	4096
656	7822	4084
657	7833	4071
658	7843	4058
659	7853	4045
660	7864	4033
661	7876	4021
662	7886	4008
663	7896	3995
664	7905	3982
665	7916	3970
666	7926	3957
667	7936	3944
668	7947	3932
669	7958	3919
670	7968	3906
671	7979	3894
672	7989	3882
673	7999	3869
674	8011	3857
675	8024	3845
676	8033	3832
677	8044	3820
678	8056	3808
679	8067	3796
680	8077	3783
681	8088	3771
682	8098	3758
683	8109	3746
684	8120	3734
685	8131	3722
686	8142	3709
687	8152	3696
688	8163	3684
689	8173	3672
690	8185	3660
691	8196	3647
692	8206	3635
693	8216	3622
694	8227	3610
695	8239	3598
696	8249	3586
697	8259	3573
698	8269	3561
699	8280	3548
700	8290	3536
701	8301	3523
702	8311	3511
703	8321	3498
704	8332	3486
705	8342	3474
706	8352	3461
707	8363	3449
708	8374	3437
709	8385	3424
710	8396	3412
711	8407	3400
712	8417	3388
713	8427	3375
714	8440	3364
715	8449	3351
716	8460	3339
717	8470	3326
718	8480	3314
719	8490	3301
720	8501	3289
721	8512	3277
722	8523	3265
723	8534	3253
724	8545	3241
725	8555	3229
726	8566	3216
727	8578	3205
728	8590	3193
729	8602	3181
730	8613	3169
731	8623	3157
732	8634	3145
733	8644	3132
734	8655	3120
735	8667	3109
736	8678	3097
737	8688	3084
738	8699	3072
739	8712	3061
740	8722	3048
741	8732	3036
742	8743	3024
743	8753	3011
744	8764	2999
745	8775	2987
746	8786	2975
747	8795	2963
748	8807	2951
749	8819	2939
750	8830	2927
751	8842	2916
752	8852	2903
753	8864	2892
754	8875	2880
755	8885	2867
756	8896	2855
757	8907	2843
758	8919	2832
759	8929	2819
760	8940	2807
761	8950	2795
762	8960	2783
763	8971	2771
764	8983	2759
765	8993	2747
766	9004	2735
767	9015	2723
768	9028	2711
769	9038	2699
770	9050	2688
771	9061	2676
772	9072	2664
773	9083	2652
774	9094	2640
775	9104	2628
776	9115	2616
777	9126	2604
778	9137	2592
779	9147	2580
780	9157	2567
781	9167	2555
782	9178	2543
783	9189	2531
784	9199	2519
785	9209	2507
786	9219	2495
787	9229	2483
788	9241	2471
789	9252	2459
790	9263	2447
791	9273	2435
792	9293	2425
793	9312	2416
794	9339	2408
795	9352	2396
796	9368	2386
797	9378	2374
798	9389	2361
799	9399	2349
800	9410	2337
801	9420	2325
802	9433	2314
803	9444	2302
804	9454	2290
805	9466	2278
806	9479	2267
807	9491	2255
808	9502	2243
809	9514	2231
810	9526	2220
811	9539	2208
812	9553	2197
813	9566	2186
814	9581	2174
815	9592	2163
816	9603	2151
817	9614	2139
818	9627	2127
819	9639	2115
820	9651	2104
821	9664	2092
822	9676	2081
823	9688	2069
824	9704	2058
825	9717	2046
826	9730	2035
827	9740	2023
828	9753	2011
829	9767	2000
830	9778	1988
831	9795	1977
832	9806	1966
833	9818	1954
834	9831	1942
835	9843	1931
836	9858	1919
837	9870	1908
838	9883	1896
839	9897	1885
840	9911	1873
841	9922	1861
842	9933	1850
843	9948	1838
844	9964	1827
845	9976	1816
846	9987	1804
847	9998	1792
848	10009	1780
849	10022	1768
850	10034	1756
851	10047	1745
852	10060	1733
853	10072	1722
854	10085	1710
855	10099	1699
856	10110	1687
857	10125	1675
858	10137	1664
859	10149	1652
860	10160	1640
861	10172	1628
862	10186	1617
863	10198	1605
864	10209	1593
865	10222	1581
866	10233	1569
867	10243	1557
868	10255	1545
869	10266	1534
870	10278	1522
871	10288	1510
872	10300	1498
873	10313	1486
874	10325	1475
875	10336	1463
876	10348	1451
877	10360	1439
878	10372	1427
879	10383	1415
880	10394	1403
881	10405	1392
882	10416	1380
883	10426	1368
884	10437	1356
885	10447	1344
886	10458	1332
887	10468	1320
888	10479	1308
889	10492	1296
890	10503	1284
891	10518	1273
892	10528	1261
893	10542	1249
894	10557	1238
895	10572	1227
896	10583	1215
897	10594	1203
898	10606	1191
899	10619	1179
900	10632	1168
901	10645	1156
902	10655	1144
903	10667	1132
904	10679	1121
905	10688	1109
906	10699	1097
907	10710	1085
908	10722	1073
909	10732	1061
910	10742	1049
911	10753	1037
912	10764	1025
913	10774	1013
914	10784	1001
915	10794	989
916	10806	978
917	10816	966
918	10827	954
919	10838	942
920	10848	930
921	10858	918
922	10869	906
923	10879	894
924	10890	882
925	10901	871
926	10911	859
927	10922	847
928	10932	835
929	10943	823
930	10954	811
931	10965	800
932	10976	788
933	10987	776
934	10998	764
935	11009	752
936	11019	740
937	11029	729
938	11040	717
939	11051	705
940	11062	693
941	11073	681
942	11084	669
943	11095	658
944	11105	646
945	11116	634
946	11127	622
947	11138	610
948	11148	599
949	11159	587
950	11168	575
951	11178	563
952	11189	551
953	11199	540
954	11209	528
955	11220	516
956	11230	504
957	11241	492
958	11251	481
959	11261	469
960	11272	457
961	11282	445
962	11293	433
963	11304	422
964	11315	410
965	11326	398
966	11337	386
967	11347	375
968	11358	363
969	11370	351
970	11381	339
971	11392	328
972	11402	316
973	11412	304
974	11423	292
975	11434	281
976	11445	269
977	11456	257
978	11467	245
979	11479	234
980	11490	222
981	11500	210
982	11511	199
983	11523	187
984	11533	175
985	11545	163
986	11558	152
987	11568	140
988	11578	128
989	11591	117
990	11602	105
991	11614	93
992	11626	81
993	11638	70
994	11650	58
995	11660	46
996	11671	35
997	11682	23
998	11693	11
999	11703	0
